Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	LossDC	DeltaLossDC	KL	Time
72	-0.17151769	0.12865406	0.029899709	-0.32193765	19.4	33.127632	85.0	0.0	1000.0	-5.8671923	6.7317305	3.8197613	-27.350471	365000	1.515368e+18	-1.515368e+18	85.52155	-58.816635	0.0	0.0	-6.67572e-10	793.222906589508
73	-0.33309883	0.63207865	0.23512259	-1.5275456	49.4	65.14476	174.0	0.0	1000.0	-1.4036283	1.873305	11.619195	-8.310312	370000	1.7581951e+26	-1.7581951e+26	108.98197	-65.681366	0.0	0.0	2.7418137e-10	803.7749316692352
74	0.8556919	0.50035036	1.7453284	0.42389032	56.0	36.70967	102.0	0.0	1000.0	-8.664086	6.8276787	0.33652735	-30.094172	375000	1.8787663e+18	-1.8787663e+18	109.767876	-74.902664	0.0	0.0	2.9563905e-09	814.2467994689941
75	0.01057528	1.0822984	2.0175996	-0.92639494	73.6	40.212437	110.0	0.0	1000.0	-4.437554	3.6980624	1.7703278	-26.442062	380000	4.117922e+21	-4.117922e+21	120.848526	-35.213127	0.0	0.0	-1.4781952e-09	824.7853989601135
76	-0.07302531	0.7816656	1.0983251	-1.203659	33.2	66.4	166.0	0.0	1000.0	-5.522708	3.4600163	0.90036315	-20.439074	385000	3.2056944e+22	-3.2056944e+22	87.59524	-50.043026	0.0	0.0	3.862381e-09	835.2074816226959
77	0.14045772	1.0080869	1.8784919	-1.2566383	81.4	73.84741	168.0	0.0	1000.0	-4.204164	4.8218384	0.6683924	-27.552143	390000	1.6480516e+22	-1.6480516e+22	156.15639	-73.33569	0.0	0.0	-4.6133994e-09	845.799135684967
78	-0.39919508	0.5756744	0.2791702	-1.3876585	57.2	82.06924	218.0	0.0	1000.0	-10.276307	4.18802	-1.410587	-33.42511	395000	7.4189115e+26	-7.4189115e+26	218.33553	-155.71313	0.0	0.0	-8.3446505e-10	856.3893027305603
79	0.15653045	0.87377685	1.7890977	-0.7794505	47.6	32.209316	96.0	0.0	1000.0	-5.1385884	4.8778343	-1.4441037	-26.627047	400000	74576185000000.0	-74576185000000.0	74.10068	-32.053658	0.39575595	-0.026205689	-3.027916e-09	867.0348846912384
80	0.8301447	1.2126529	2.6670952	-1.0191627	79.4	68.82325	168.0	0.0	1000.0	-4.7259526	1.5232087	-0.5142509	-12.544899	405000	8.5218587e+21	-8.5218587e+21	150.0902	-62.64531	0.0	0.0	-4.6491622e-10	877.6240530014038
81	0.4482146	0.6792057	1.3143781	-0.44087186	74.0	88.85719	217.0	0.0	1000.0	-5.8260183	3.536116	-1.3678495	-22.839363	410000	1.3809444e+18	-1.3809444e+18	98.72394	-89.7823	0.0	0.0	-9.179115e-10	888.1901483535767
